Epoch,Loss,Value
24,kl_loss_0,2.5471
24,kl_loss_1,0.0273
24,kl_loss_2,2.4495
24,kl_loss_3,2.8545
24,kl_loss_4,2.6344
24,kl_loss_5,2.7007
24,kl_loss_6,1.9424
24,kl_loss_7,0.0212
24,kl_loss_8,2.1265
24,kl_loss_9,3.3981
24,loss,4910.9284
25,recon_loss,4853.598
25,kl_loss,20.9771
25,kl_loss_0,2.5523
25,kl_loss_1,0.0295
25,kl_loss_2,2.5939
25,kl_loss_3,2.8561
25,kl_loss_4,2.6895
25,kl_loss_5,2.7155
25,kl_loss_6,1.9627
25,kl_loss_7,0.0452
25,kl_loss_8,2.1361
25,kl_loss_9,3.3962
25,loss,4937.5062
26,recon_loss,4778.244
26,kl_loss,21.2272
26,kl_loss_0,2.5057
26,kl_loss_1,0.0925
26,kl_loss_2,2.4737
26,kl_loss_3,2.7823
26,kl_loss_4,2.6079
26,kl_loss_5,2.6819
26,kl_loss_6,1.9143
26,kl_loss_7,0.679
26,kl_loss_8,2.0942
26,kl_loss_9,3.3957
26,loss,4863.1527
27,recon_loss,4751.2928
27,kl_loss,22.2873
27,kl_loss_0,2.4847
27,kl_loss_1,0.0472
27,kl_loss_2,2.4381
27,kl_loss_3,2.8085
27,kl_loss_4,2.6853
27,kl_loss_5,2.7105
27,kl_loss_6,1.9028
27,kl_loss_7,1.6956
27,kl_loss_8,2.0931
27,kl_loss_9,3.4214
27,loss,4840.4419
28,recon_loss,4723.1251
28,kl_loss,22.6497
28,kl_loss_0,2.5515
28,kl_loss_1,0.0393
28,kl_loss_2,2.5276
28,kl_loss_3,2.8738
28,kl_loss_4,2.6602
28,kl_loss_5,2.7163
28,kl_loss_6,1.9427
28,kl_loss_7,1.8269
28,kl_loss_8,2.0943
28,kl_loss_9,3.4171
28,loss,4813.7238
29,recon_loss,4719.2271
29,kl_loss,22.5449
29,kl_loss_0,2.4866
29,kl_loss_1,0.0363
29,kl_loss_2,2.5305
29,kl_loss_3,2.8218
29,kl_loss_4,2.6871
29,kl_loss_5,2.667
29,kl_loss_6,1.9388
29,kl_loss_7,1.8569
29,kl_loss_8,2.1142
29,kl_loss_9,3.4056
29,loss,4809.4067
30,recon_loss,4745.4725
30,kl_loss,22.4554
30,kl_loss_0,2.4773
30,kl_loss_1,0.0298
30,kl_loss_2,2.4667
30,kl_loss_3,2.8471
30,kl_loss_4,2.6544
30,kl_loss_5,2.7258
30,kl_loss_6,1.9491
30,kl_loss_7,1.8727
30,kl_loss_8,2.0716
30,kl_loss_9,3.3609
30,loss,4835.2942
31,recon_loss,4687.962
31,kl_loss,22.5834
31,kl_loss_0,2.5042
31,kl_loss_1,0.0759
31,kl_loss_2,2.4542
31,kl_loss_3,2.8082
31,kl_loss_4,2.6621
31,kl_loss_5,2.7202
31,kl_loss_6,1.9697
31,kl_loss_7,1.8578
31,kl_loss_8,2.1178
31,kl_loss_9,3.4133
31,loss,4778.2956
32,recon_loss,4740.2818
32,kl_loss,22.9946
32,kl_loss_0,2.5291
32,kl_loss_1,0.3615
32,kl_loss_2,2.4832
32,kl_loss_3,2.8144
32,kl_loss_4,2.6377
32,kl_loss_5,2.7579
32,kl_loss_6,2.0342
32,kl_loss_7,1.9177
32,kl_loss_8,2.0576
32,kl_loss_9,3.4012
32,loss,4832.2604
33,recon_loss,4730.2859
33,kl_loss,23.8934
33,kl_loss_0,2.4982
33,kl_loss_1,1.2381
33,kl_loss_2,2.5019
33,kl_loss_3,2.8561
33,kl_loss_4,2.7076
33,kl_loss_5,2.7711
33,kl_loss_6,1.9623
33,kl_loss_7,1.893
33,kl_loss_8,2.0564
33,kl_loss_9,3.4088
33,loss,4825.8594
34,recon_loss,4656.9218
34,kl_loss,24.2293
34,kl_loss_0,2.5032
34,kl_loss_1,1.4843
34,kl_loss_2,2.47
34,kl_loss_3,2.8623
34,kl_loss_4,2.6915
34,kl_loss_5,2.7274
34,kl_loss_6,1.9554
34,kl_loss_7,1.958
34,kl_loss_8,2.1857
34,kl_loss_9,3.3915
34,loss,4753.8389
35,recon_loss,4691.4285
35,kl_loss,24.3854
35,kl_loss_0,2.625
35,kl_loss_1,1.5373
35,kl_loss_2,2.4807
35,kl_loss_3,2.8042
35,kl_loss_4,2.6083
35,kl_loss_5,2.7494
35,kl_loss_6,2.0526
35,kl_loss_7,1.9641
35,kl_loss_8,2.153
35,kl_loss_9,3.4109
35,loss,4788.97
36,recon_loss,4650.6888
36,kl_loss,24.1511
36,kl_loss_0,2.5538
36,kl_loss_1,1.5592
36,kl_loss_2,2.4317
36,kl_loss_3,2.7991
36,kl_loss_4,2.6986
36,kl_loss_5,2.7009
